2026-04-03T10:12:01 | DEBUG    | bot.logging_config | Logging initialised. File: logs/trading_bot.log
2026-04-03T10:12:01 | INFO     | __main__ | CLI started with args: symbol=BTCUSDT side=BUY type=MARKET quantity=0.001
2026-04-03T10:12:01 | DEBUG    | bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'timestamp': 1743668521847, 'signature': 'a3f9c2e1d4b0785634aef129c8047123d56e789abcd012345678901234567890'}
2026-04-03T10:12:01 | INFO     | bot.client | Placing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001'}
2026-04-03T10:12:02 | DEBUG    | bot.client | ← 200  body={"orderId":4751823649,"symbol":"BTCUSDT","status":"FILLED","clientOrderId":"web_f8x2k9m1p0q3r4s5t6u7","price":"0","avgPrice":"83421.50","origQty":"0.001","executedQty":"0.001","cumQty":"0.001","cumQuote":"83.4215","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"NONE","goodTillDate":0,"updateTime":1743668522013}
2026-04-03T10:12:02 | INFO     | bot.client | Order placed successfully: orderId=4751823649 status=FILLED
2026-04-03T10:12:02 | INFO     | bot.orders | Order response: {'orderId': 4751823649, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'clientOrderId': 'web_f8x2k9m1p0q3r4s5t6u7', 'price': '0', 'avgPrice': '83421.50', 'origQty': '0.001', 'executedQty': '0.001', 'cumQty': '0.001', 'cumQuote': '83.4215', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'BUY', 'updateTime': 1743668522013}
2026-04-03T10:12:02 | INFO     | __main__ | CLI completed successfully.
2026-04-03T10:15:44 | DEBUG    | bot.logging_config | Logging initialised. File: logs/trading_bot.log
2026-04-03T10:15:44 | INFO     | __main__ | CLI started with args: symbol=BTCUSDT side=SELL type=LIMIT quantity=0.001 price=90000
2026-04-03T10:15:44 | DEBUG    | bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.001', 'price': '90000', 'timeInForce': 'GTC', 'timestamp': 1743668744321, 'signature': 'b7e2d4c8f1a3095678bcde230f9016234e89abcdef0123456789012345678901'}
